Node,Nama_Lokasi,Heuristik
1,Kesugihan (UNUGHA),163
2,Maos,157
3,Adipala,154
4,Doplang,160
5,Kroya,151
6,Binangun,140
7,Nusawungu,132
8,Jetis,99
9,Kebumen,97
10,Ayah,125
11,Karangbolong,111
12,Suwuk,108
13,Tambakmulyo,106
14,Petanahan,97
15,Klirong,94
16,Buluspesantren,87
17,Ambal,79
18,Mirit,71
19,Grabag,65
20,Ngombol,55
21,Purwodadi,121
22,Temon,38
23,Wates,32
24,Pengasih,26
25,Sentolo,20
26,Sedayu,13
27,Gamping,4.5
28,Kasihan,7.3
29,Sewon,4.3
30,Mergangsan,2.4
31,Jatilawang,165
32,Banyumas,171
33,Rawalo,159
34,Cindaga,158
35,Kebasen,155
36,Sumpiuh,135
37,Gombong,118
38,Sruweng,102
39,Kebumen,97
40,Lundong,87
41,Prembun,82
42,Butuh,75
43,Kutoarjo,70
44,Purworejo,48
45,Banyuurip,63
46,Purwodadi,51
47,Bagelen,49
48,Sokaraja,160
49,Somagede,149
50,Susukan,149
51,Purwareja Klampok,142
52,Klampok,147
53,Kaliwinasuh,143
54,Mandiraja,138
55,Banjarnegara,141
56,Purwonegoro,143
57,Bawang,127
58,Sigaluh,103
59,Wonosobo,93
60,Sawangan,103
61,Selomerto,91
62,Kertek,84
63,Kalikajar,81
64,Sapuran,75
65,Kepil,67
66,Kaliangkrik,58
67,Magelang,45
68,Kledung,83
69,Temanggung,68
70,Parakan,77
71,Madureso,65
72,Bengkal,59
73,Secang,56
74,Mertoyudan,41
75,Mungkid,35
76,Muntilan,29
77,Salam,25
78,Sucen,14
79,Baledono,1
80,Tempel,18
81,Sleman,11
82,Ngaglik,14
83,Titik Nol (Yogyakarta),0